date,payems,gdpc1,cpiaucsl,dgorder,hsn1f,rsafs,unrate,houst,indpro,dspic96,boptexp,boptimp,whlslrimsa,ttlcons,ir,cpilfesl,pcepilfe,pcepi,permit,tcu,businv,ulcnfb,iq,a261rx1q020sbea
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,159105.0,,314.686,284769.0,738.0,714358.0,4.1,1354.0,102.6418,,,,,,140.8,320.767,,,1425.0,77.4942,,,146.8,
2024-08-01,158851.0,,314.121,287018.0,709.0,711291.0,4.2,1361.0,102.9329,17614.0,271755.0,342186.0,904765.0,2131936.0,141.4,319.768,122.863,123.67,1470.0,77.8003,2581811.0,,147.9,
2024-07-01,158692.0,,313.534,289419.0,726.0,710851.0,4.3,1262.0,102.5863,17602.3,266479.0,345397.0,903730.0,2133909.0,141.7,318.872,122.703,123.558,1406.0,77.619,2574892.0,,149.2,
2024-06-01,158548.0,23223.906,313.049,263541.0,672.0,702350.0,4.1,1329.0,103.2258,17589.5,265266.0,338282.0,901488.0,2143970.0,141.6,318.346,122.51,123.369,1454.0,78.1784,2565930.0,120.245,148.4,23146.595
2024-05-01,158430.0,,313.225,282987.0,672.0,704309.0,4.0,1315.0,103.0711,17572.2,260790.0,336096.0,901184.0,2168211.0,141.5,318.14,122.239,123.224,1399.0,78.132,2558827.0,,148.8,
2024-04-01,158214.0,,313.207,282737.0,736.0,702681.0,3.9,1377.0,102.3568,17501.0,262314.0,337217.0,896304.0,2163179.0,141.7,317.622,122.14,123.234,1440.0,77.6572,2546223.0,,149.8,
2024-03-01,158106.0,23053.545,312.23,282096.0,683.0,703738.0,3.8,1299.0,102.5186,17486.9,260681.0,328653.0,894435.0,2135771.0,140.5,316.698,121.829,122.912,1485.0,77.8455,2537490.0,120.118,148.8,22952.986
2024-02-01,157796.0,,311.054,279865.0,643.0,700519.0,3.9,1546.0,102.7267,17442.4,265607.0,334476.0,898704.0,2133750.0,139.7,315.565,121.418,122.494,1563.0,78.0707,2540743.0,,148.6,
2024-01-01,157560.0,,309.685,276538.0,664.0,695631.0,3.7,1376.0,101.483,17426.2,259062.0,325461.0,896497.0,2122229.0,139.4,314.438,121.128,122.115,1508.0,77.1945,2533958.0,,147.5,
2023-12-01,157304.0,22960.6,308.742,287397.0,654.0,703256.0,3.7,1568.0,102.6309,17267.4,259887.0,324802.0,898541.0,2101292.0,138.4,313.209,120.528,121.602,1530.0,78.1414,2534336.0,119.005,146.5,22786.707
2023-11-01,157014.0,,308.024,300639.0,611.0,700707.0,3.7,1510.0,102.8868,17229.4,256531.0,321284.0,894166.0,2090690.0,139.4,312.349,120.309,121.415,1508.0,78.4172,2523556.0,,147.5,
2023-10-01,156832.0,,307.531,279021.0,673.0,699977.0,3.8,1365.0,102.5781,17152.8,260783.0,325116.0,896495.0,2071136.0,140.1,311.39,120.2,121.421,1534.0,78.2711,2528517.0,,148.6,
2023-09-01,156667.0,22780.933,307.288,290883.0,694.0,702160.0,3.8,1363.0,103.3081,17101.1,261641.0,323864.0,899500.0,2055216.0,141.0,310.644,120.04,121.387,1515.0,78.9282,2530833.0,119.853,150.0,22504.166
2023-08-01,156421.0,,306.187,285317.0,652.0,696238.0,3.8,1305.0,103.0951,17085.8,258506.0,318137.0,899125.0,2047414.0,140.3,309.656,119.658,120.965,1578.0,78.8773,2521778.0,,149.2,
2023-07-01,156211.0,,304.628,285827.0,700.0,690641.0,3.5,1473.0,103.0722,17061.6,253923.0,318530.0,899737.0,2027412.0,139.4,308.945,119.536,120.598,1501.0,78.986,2511946.0,,147.5,
2023-06-01,156027.0,22539.418,304.003,294857.0,666.0,688810.0,3.6,1415.0,102.3809,17050.3,251067.0,315873.0,902011.0,2023013.0,139.4,308.245,119.37,120.435,1493.0,78.5968,2515043.0,119.837,147.0,22355.089
2023-05-01,155787.0,,303.365,287293.0,741.0,686672.0,3.7,1583.0,102.9809,17041.9,250880.0,316947.0,906386.0,2011831.0,139.7,307.646,119.063,120.14,1532.0,79.2151,2517951.0,,147.9,
2023-04-01,155484.0,,303.032,286759.0,687.0,683698.0,3.4,1368.0,103.2241,16983.3,250966.0,323721.0,911195.0,1990292.0,140.3,306.539,118.715,119.97,1470.0,79.5726,2520942.0,,151.0,
2023-03-01,155206.0,22403.435,301.744,280718.0,644.0,679067.0,3.5,1342.0,102.8143,16968.0,256911.0,317232.0,915732.0,1964793.0,139.9,305.112,118.304,119.553,1493.0,79.4362,2522573.0,119.098,151.1,22238.596
2023-02-01,155060.0,,301.509,274314.0,625.0,686434.0,3.6,1404.0,102.8003,16879.1,252891.0,323412.0,915265.0,1944950.0,141.0,304.124,117.963,119.401,1620.0,79.6087,2523989.0,,151.7,
2023-01-01,154773.0,,300.356,280844.0,639.0,693826.0,3.4,1361.0,102.7476,16808.5,257830.0,327789.0,916744.0,1932302.0,141.3,302.709,117.526,119.007,1443.0,79.7542,2527240.0,,151.1,
2022-12-01,154291.0,22249.459,298.812,278589.0,632.0,666734.0,3.5,1340.0,101.8266,16497.5,252504.0,323266.0,922988.0,1922389.0,141.8,301.423,116.977,118.403,1400.0,79.2286,2529366.0,117.069,150.8,22143.849
2022-11-01,154155.0,,298.648,273100.0,596.0,673674.0,3.6,1420.0,103.1058,16436.5,255477.0,318038.0,923660.0,1913413.0,141.6,300.292,116.554,118.221,1402.0,80.4107,2524932.0,,155.4,
2022-10-01,153897.0,,297.863,279629.0,577.0,681748.0,3.6,1440.0,103.4442,16424.3,258654.0,333920.0,917839.0,1907841.0,142.7,299.351,116.2,117.891,1560.0,80.8551,2520491.0,,156.0,
2022-09-01,153536.0,22066.784,296.341,271946.0,556.0,673312.0,3.5,1470.0,103.5326,16372.3,260390.0,331607.0,912319.0,1914299.0,143.1,298.284,115.805,117.377,1613.0,81.0936,2513182.0,117.67,156.8,22220.205
2022-08-01,153281.0,,295.209,276622.0,644.0,675107.0,3.6,1520.0,103.1703,16314.4,263132.0,331654.0,909447.0,1915377.0,144.6,296.569,115.298,117.002,1542.0,80.9637,2511345.0,,158.3,
2022-07-01,153038.0,,294.977,276260.0,519.0,671067.0,3.5,1392.0,103.0505,16219.1,262609.0,333649.0,897756.0,1925909.0,146.4,295.055,114.638,116.662,1719.0,81.0054,2493530.0,,160.5,
2022-06-01,152348.0,21919.222,294.996,272166.0,543.0,675702.0,3.6,1542.0,102.8224,16015.9,261517.0,342731.0,892510.0,1918140.0,148.5,293.972,114.376,116.631,1745.0,80.9375,2479134.0,115.681,166.7,22009.987
2022-05-01,151928.0,,291.359,271508.0,648.0,671040.0,3.6,1540.0,102.9659,16049.1,257047.0,341303.0,878251.0,1930664.0,148.2,292.072,113.709,115.542,1712.0,81.1363,2447893.0,,164.9,
2022-04-01,151642.0,,288.764,272987.0,636.0,673245.0,3.7,1828.0,102.9024,16063.7,254374.0,339750.0,859103.0,1918254.0,147.5,290.515,113.301,114.845,1835.0,81.1458,2408435.0,,160.6,
2022-03-01,151370.0,21903.85,287.553,271005.0,713.0,664167.0,3.6,1678.0,102.6732,16065.5,246646.0,348560.0,839309.0,1878681.0,146.8,289.041,112.916,114.489,1879.0,80.9989,2381184.0,114.35,159.0,22025.223
2022-02-01,150876.0,,284.535,271418.0,781.0,650522.0,3.8,1742.0,101.8458,16143.0,235969.0,323039.0,819127.0,1852805.0,142.6,288.287,112.492,113.489,1860.0,80.357,2333243.0,,153.0,
2022-01-01,150014.0,,282.39,274707.0,798.0,644034.0,4.0,1712.0,101.2146,16143.2,231087.0,316652.0,796786.0,1810368.0,140.1,286.811,111.988,112.776,1915.0,79.8471,2294357.0,,148.2,
2021-12-01,149763.0,21960.388,280.808,266894.0,834.0,632515.0,3.9,1757.0,101.1948,16525.4,235613.0,316405.0,785340.0,1757320.0,137.4,285.221,111.458,112.221,1913.0,79.7947,2257524.0,112.105,144.2,21932.182
2021-11-01,149197.0,,278.799,263631.0,787.0,637775.0,4.1,1704.0,101.2684,16598.3,230642.0,310795.0,765248.0,1728158.0,137.9,283.393,110.792,111.51,1766.0,79.7955,2202705.0,,146.5,
2021-10-01,148566.0,,276.434,257877.0,683.0,630562.0,4.5,1587.0,100.3542,16648.1,227955.0,294897.0,753664.0,1685471.0,136.9,281.623,110.184,110.741,1719.0,78.9984,2166413.0,,145.5,
